职位,薪资,城市,区域,区域具体,经验要求,学历要求,福利,技能,salary_min,salary_max,salary_multiplier,salary_avg,experience_years_min,experience_years_max,education_level,education_name,job_category,benefits_list,skills_list,benefits_count,skills_count,is_ai_related,is_python_related,is_remote_work
大数据etl工程师,8-13K,长沙,开福区,长沙大学,3-5年,本科,"['全勤奖', '定期体检', '股票期权', '带薪年假', '餐补', '零食下午茶', '加班补助', '节日福利', '年终奖']","['Java', 'Python', 'MySQL/Oracle/DB2', 'Kettle/Informatica', 'Redis', '数学/统计相关专业', '计算机相关专业', 'ETL设计/开发经验', '大数据开发经验', '分布式系统开发经验', 'postgre', 'Linux运维']",8.0,13.0,1.0,10.5,3,5,5,本科,数据分析/工程师,"['全勤奖', '定期体检', '股票期权', '带薪年假', '餐补', '零食下午茶', '加班补助', '节日福利', '年终奖']","['Java', 'Python', 'MySQL/Oracle/DB2', 'Kettle/Informatica', 'Redis', '数学/统计相关专业', '计算机相关专业', 'ETL设计/开发经验', '大数据开发经验', '分布式系统开发经验', 'postgre', 'Linux运维']",9,12,0,1,0
高级爬虫开发工程师,15-30K,长沙,开福区,四方坪,经验不限,学历不限,"['住房补贴', '餐补', '包吃', '绩效奖金', '年终奖', '五险一金']","['分布式爬虫', 'app/js/逆向']",15.0,30.0,1.0,22.5,0,0,1,学历不限,开发工程师,"['住房补贴', '餐补', '包吃', '绩效奖金', '年终奖', '五险一金']","['分布式爬虫', 'app/js/逆向']",6,2,0,0,0
芯片数字后端,25-35K·14薪,长沙,,,3-5年,本科,"['五险一金', '零食下午茶', '定期体检', '节日福利', '年终奖', '年度调薪', '带薪年假', '员工旅游', '其它福利']","['shell', 'Makefile']",25.0,35.0,1.1666666666666667,35.0,3,5,5,本科,开发工程师,"['五险一金', '零食下午茶', '定期体检', '节日福利', '年终奖', '年度调薪', '带薪年假', '员工旅游', '其它福利']","['shell', 'Makefile']",9,2,0,0,0
运维工程师（周末双休+五险一金）,6-8K,长沙,开福区,四方坪,3-5年,本科,"['保底工资', '节日福利', '年终奖', '绩效奖金', '夜班补助', '工龄奖', '全勤奖', '零食下午茶', '有无线网', '定期体检', '免费班车', '五险一金', '带薪年假', '交通补助', '团建聚餐', '底薪加提成']",[],6.0,8.0,1.0,7.0,3,5,5,本科,运维工程师,"['保底工资', '节日福利', '年终奖', '绩效奖金', '夜班补助', '工龄奖', '全勤奖', '零食下午茶', '有无线网', '定期体检', '免费班车', '五险一金', '带薪年假', '交通补助', '团建聚餐', '底薪加提成']",[],16,0,0,0,0
股票交易员,15-30K,长沙,开福区,五一广场,经验不限,本科,"['带薪年假', '股票期权', '绩效奖金', '五险一金']",[],15.0,30.0,1.0,22.5,0,0,5,本科,其他,"['带薪年假', '股票期权', '绩效奖金', '五险一金']",[],4,0,0,0,0
网络安全,8-9K,长沙,开福区,四方坪,3-5年,大专,"['定期体检', '节日福利', '通讯补贴', '年终奖', '补充医疗保险', '带薪年假', '意外险', '五险一金', '餐补', '交通补助']","['渗透测试', 'Linux', 'Python', 'Java', '安全设备', '漏洞挖掘']",8.0,9.0,1.0,8.5,3,5,4,大专,安全工程师,"['定期体检', '节日福利', '通讯补贴', '年终奖', '补充医疗保险', '带薪年假', '意外险', '五险一金', '餐补', '交通补助']","['渗透测试', 'Linux', 'Python', 'Java', '安全设备', '漏洞挖掘']",10,6,0,1,0
ros开发工程师,10-15K,长沙,开福区,四方坪,1-3年,本科,"['免费停车', '加班补助', '五险一金', '节日福利']","['slam', 'ros', 'Linux软件工程师', '鸿蒙系统开发经验', 'Python']",10.0,15.0,1.0,12.5,1,3,5,本科,开发工程师,"['免费停车', '加班补助', '五险一金', '节日福利']","['slam', 'ros', 'Linux软件工程师', '鸿蒙系统开发经验', 'Python']",4,5,0,1,0
c++高级软件工程师,15-18K·13薪,长沙,开福区,四方坪,3-5年,本科,"['加班补助', '定期体检', '零食下午茶', '高温补贴', '五险一金', '带薪年假', '股票期权', '餐补', '免费工装', '年终奖', '节日福利', '生日福利', '团建聚餐', '孝心基金']","['C++', 'QT', 'STL', 'Linux开发/部署经验', '上位机开发经验']",15.0,18.0,1.0833333333333333,17.875,3,5,5,本科,开发工程师,"['加班补助', '定期体检', '零食下午茶', '高温补贴', '五险一金', '带薪年假', '股票期权', '餐补', '免费工装', '年终奖', '节日福利', '生日福利', '团建聚餐', '孝心基金']","['C++', 'QT', 'STL', 'Linux开发/部署经验', '上位机开发经验']",14,5,0,0,0
深度学习工程师（长沙）,16-25K·16薪,长沙,开福区,湘雅路,3-5年,本科,"['餐补', '定期体检', '生日福利', '年终奖', '有无线网', '带薪年假', '团建聚餐', '员工旅游', '节日福利', '绩效奖金', '五险一金', '免费工装', '交通补助', '意外险']","['机器学习', '模型加速/性能优化', 'C/C++']",16.0,25.0,1.3333333333333333,27.333333333333332,3,5,5,本科,AI/算法工程师,"['餐补', '定期体检', '生日福利', '年终奖', '有无线网', '带薪年假', '团建聚餐', '员工旅游', '节日福利', '绩效奖金', '五险一金', '免费工装', '交通补助', '意外险']","['机器学习', '模型加速/性能优化', 'C/C++']",14,3,1,0,0
高级golang开发工程师,35-55K,长沙,,,3-5年,本科,"['五险一金', '零食下午茶', '交通补助', '带薪年假', '餐补', '定期体检', '包吃', '节日福利', '绩效工资', '年终奖']",[],35.0,55.0,1.0,45.0,3,5,5,本科,开发工程师,"['五险一金', '零食下午茶', '交通补助', '带薪年假', '餐补', '定期体检', '包吃', '节日福利', '绩效工资', '年终奖']",[],10,0,0,0,0
运维工程师,9-14K,长沙,开福区,湘江中路,10年以上,本科,"['五险一金', '员工旅游', '年终奖', '带薪年假', '节日福利']","['系统运维', 'Python/Shell']",9.0,14.0,1.0,11.5,10,15,5,本科,运维工程师,"['五险一金', '员工旅游', '年终奖', '带薪年假', '节日福利']","['系统运维', 'Python/Shell']",5,2,0,1,0
AI大模型营销对接技术专家,18-28K,长沙,开福区,四方坪,3-5年,大专,"['零食下午茶', '节日福利', '带薪年假', '五险一金', '团建聚餐']","['向量数据库', '云计算/大数据', '人工智能', '大模型']",18.0,28.0,1.0,23.0,3,5,4,大专,AI/算法工程师,"['零食下午茶', '节日福利', '带薪年假', '五险一金', '团建聚餐']","['向量数据库', '云计算/大数据', '人工智能', '大模型']",5,4,1,0,0
C++软件开发工程师,11-22K·13薪,长沙,开福区,伍家岭,经验不限,本科,"['年终奖', '定期体检', '带薪年假', '五险一金', '通讯补贴', '节日福利']","['C++', 'C', 'QT', '数据库开发经验', '深度学习', '桌面开发经验', 'STL', 'Windows', '上位机开发经验', 'SQL', '音视频经验', 'Linux', 'Boost', '图像处理', 'Linux开发/部署经验', '软件开发']",11.0,22.0,1.0833333333333333,17.875,0,0,5,本科,开发工程师,"['年终奖', '定期体检', '带薪年假', '五险一金', '通讯补贴', '节日福利']","['C++', 'C', 'QT', '数据库开发经验', '深度学习', '桌面开发经验', 'STL', 'Windows', '上位机开发经验', 'SQL', '音视频经验', 'Linux', 'Boost', '图像处理', 'Linux开发/部署经验', '软件开发']",6,16,0,0,0
爬虫工程师,10-15K,长沙,开福区,湘江中路,3-5年,本科,"['团建聚餐', '节日福利', '五险一金', '绩效奖金', '定期体检', '带薪年假', '生日福利', '零食下午茶', '年终奖', '加班补助']",['爬虫'],10.0,15.0,1.0,12.5,3,5,5,本科,爬虫工程师,"['团建聚餐', '节日福利', '五险一金', '绩效奖金', '定期体检', '带薪年假', '生日福利', '零食下午茶', '年终奖', '加班补助']",['爬虫'],10,1,0,0,0
AI大模型工程师（1W-2W双休）,15-20K,长沙,,,3-5年,本科,"['绩效奖金', '节日福利', '团建聚餐', '员工旅游', '免费工装', '社保', '零食下午茶', '休息', '有无线网', '保底工资', '带薪年假', '年终奖', '五险一金']","['大模型算法', '模型加速/性能优化', '图像算法', 'Python', '大数据处理工具(Spark/Hadoop/Hive)', '嵌入式开发', '并行计算', '算法工程化经验', '参加算法相关竞赛/获奖']",15.0,20.0,1.0,17.5,3,5,5,本科,AI/算法工程师,"['绩效奖金', '节日福利', '团建聚餐', '员工旅游', '免费工装', '社保', '零食下午茶', '休息', '有无线网', '保底工资', '带薪年假', '年终奖', '五险一金']","['大模型算法', '模型加速/性能优化', '图像算法', 'Python', '大数据处理工具(Spark/Hadoop/Hive)', '嵌入式开发', '并行计算', '算法工程化经验', '参加算法相关竞赛/获奖']",13,9,1,1,0
高级数据开发工程师（双休+五险一金）,12-15K,长沙,开福区,湘江中路,3-5年,本科,"['股票期权', '年终奖', '定期体检', '五险一金', '餐补', '带薪年假', '节日福利', '零食下午茶']","['Java', '要求数据开发经验', 'ETL开发经验', 'MySQL/SQL Server', 'Kafka', '非外包类', '数据平台开发经验', '数据治理经验', 'HBase', 'Hive', 'Elasticsearch', '电商/零售行业经验', '数据仓库开发经验', 'Python']",12.0,15.0,1.0,13.5,3,5,5,本科,开发工程师,"['股票期权', '年终奖', '定期体检', '五险一金', '餐补', '带薪年假', '节日福利', '零食下午茶']","['Java', '要求数据开发经验', 'ETL开发经验', 'MySQL/SQL Server', 'Kafka', '非外包类', '数据平台开发经验', '数据治理经验', 'HBase', 'Hive', 'Elasticsearch', '电商/零售行业经验', '数据仓库开发经验', 'Python']",8,14,0,1,0
视频编辑码工程师,35-65K·15薪,长沙,,,3-5年,本科,"['五险一金', '节假日加班费', '生日福利', '法定节假日三薪', '定期体检', '有无线网', '节日福利', '加班补助', '宿舍有空调', '通讯补贴', '补充医疗保险', '年终奖', '员工旅游', '带薪年假', '团建聚餐', '保底工资']","['C++', 'C', 'Python', '音视频经验', '视频编解码', 'H.264', 'H.265 (HEVC)', 'AV1', 'VVC']",35.0,65.0,1.25,62.5,3,5,5,本科,其他,"['五险一金', '节假日加班费', '生日福利', '法定节假日三薪', '定期体检', '有无线网', '节日福利', '加班补助', '宿舍有空调', '通讯补贴', '补充医疗保险', '年终奖', '员工旅游', '带薪年假', '团建聚餐', '保底工资']","['C++', 'C', 'Python', '音视频经验', '视频编解码', 'H.264', 'H.265 (HEVC)', 'AV1', 'VVC']",16,9,0,1,0
数据配置,2-3K,长沙,开福区,月湖,经验不限,大专,"['全勤奖', '员工旅游', '餐补', '年终奖', '定期体检', '股票期权', '带薪年假', '节日福利', '五险一金']","['接受实习/在校生投递', '数据配置', '数据采集', '数据处理', '数据质检']",2.0,3.0,1.0,2.5,0,0,4,大专,其他,"['全勤奖', '员工旅游', '餐补', '年终奖', '定期体检', '股票期权', '带薪年假', '节日福利', '五险一金']","['接受实习/在校生投递', '数据配置', '数据采集', '数据处理', '数据质检']",9,5,0,0,0
银行编制-研发工程师（java）,20-30K,长沙,,,1-3年,本科,"['交通补助', '节日福利', '餐补', '专业培训资源', '5G内部套餐', '带薪年假', '补充医疗保险', '员工旅游', '定期体检', '节日、生日卡', '各类礼品卡', '加班补助', '年终奖', '五险一金', '培训资源丰富', '通讯补贴', '交通补助']","['后端工程师', 'Java', 'Spring', 'Python', '计算机/软件工程相关经验', 'Java开发经验']",20.0,30.0,1.0,25.0,1,3,5,本科,开发工程师,"['交通补助', '节日福利', '餐补', '专业培训资源', '5G内部套餐', '带薪年假', '补充医疗保险', '员工旅游', '定期体检', '节日、生日卡', '各类礼品卡', '加班补助', '年终奖', '五险一金', '培训资源丰富', '通讯补贴', '交通补助']","['后端工程师', 'Java', 'Spring', 'Python', '计算机/软件工程相关经验', 'Java开发经验']",17,6,0,1,0
经营数据分析师,10-15K,长沙,开福区,青竹湖,经验不限,学历不限,"['五险一金', '免费班车', '通讯补贴', '交通补助', '生日福利', '带薪年假', '节日福利', '补充医疗保险', '年终奖', '包住', '宿舍有空调', '餐补', '法定节假日三薪', '包吃', '定期体检', '员工旅游']","['SQL', '数学/统计相关专业']",10.0,15.0,1.0,12.5,0,0,1,学历不限,数据分析/工程师,"['五险一金', '免费班车', '通讯补贴', '交通补助', '生日福利', '带薪年假', '节日福利', '补充医疗保险', '年终奖', '包住', '宿舍有空调', '餐补', '法定节假日三薪', '包吃', '定期体检', '员工旅游']","['SQL', '数学/统计相关专业']",16,2,0,0,0
软件测试主管,10-13K,长沙,开福区,四方坪,5-10年,大专,"['生日福利', '保底工资', '带薪年假', '加班补助', '绩效奖金', '全勤奖', '五险一金', '年终奖', '零食下午茶', '底薪加提成', '节日福利']","['自动化测试经验', 'Java', '测试工作经验', 'iOS/Android测试经验', 'UI自动化', '性能测试', '功能测试', '计算机相关专业', 'JMeter', '慢病管理软件测试', '自动化测试', 'Selenium', '掌握软件测试理论和流程', 'Python']",10.0,13.0,1.0,11.5,5,10,4,大专,测试工程师,"['生日福利', '保底工资', '带薪年假', '加班补助', '绩效奖金', '全勤奖', '五险一金', '年终奖', '零食下午茶', '底薪加提成', '节日福利']","['自动化测试经验', 'Java', '测试工作经验', 'iOS/Android测试经验', 'UI自动化', '性能测试', '功能测试', '计算机相关专业', 'JMeter', '慢病管理软件测试', '自动化测试', 'Selenium', '掌握软件测试理论和流程', 'Python']",11,14,0,1,0
Java（Zabbix监控运维）开发工程师,12-18K·13薪,长沙,开福区,伍家岭,5-10年,大专,"['节日福利', '加班补助', '定期体检', '五险一金']","['监控运维', 'Java', '团队管理经验', 'zabbix', 'SpringCloud', 'MySQL', 'Redis', '架构设计经验', 'Spring', 'ITIL']",12.0,18.0,1.0833333333333333,16.25,5,10,4,大专,开发工程师,"['节日福利', '加班补助', '定期体检', '五险一金']","['监控运维', 'Java', '团队管理经验', 'zabbix', 'SpringCloud', 'MySQL', 'Redis', '架构设计经验', 'Spring', 'ITIL']",4,10,0,0,0
软件测试工程师,6-7K,长沙,开福区,湘江中路,1-3年,本科,[],[],6.0,7.0,1.0,6.5,1,3,5,本科,测试工程师,[],[],0,0,0,0,0
阿里云智能-公共云解决方案架构师（泛互）,30-60K·16薪,长沙,开福区,湘江中路,5-10年,本科,"['带薪年假', '年终奖', '五险一金', '餐补', '免费班车', '定期体检', '绩效奖金', '节日福利']","['Java', 'PHP', 'Python', 'Go']",30.0,60.0,1.3333333333333333,60.0,5,10,5,本科,架构师/技术管理,"['带薪年假', '年终奖', '五险一金', '餐补', '免费班车', '定期体检', '绩效奖金', '节日福利']","['Java', 'PHP', 'Python', 'Go']",8,4,0,1,0
IC验证工程师,12-24K,长沙,开福区,湘雅路,1-3年,本科,"['零食下午茶', '五险一金', '年终奖', '带薪年假', '餐补']","['C++', 'Python', 'Shell', 'Verilog', 'Perl', 'IC验证', '单片机开发', 'FPGA开发']",12.0,24.0,1.0,18.0,1,3,5,本科,其他,"['零食下午茶', '五险一金', '年终奖', '带薪年假', '餐补']","['C++', 'Python', 'Shell', 'Verilog', 'Perl', 'IC验证', '单片机开发', 'FPGA开发']",5,8,0,1,0
高级爬虫工程师（双休包吃住）,18-30K,长沙,开福区,湘江世纪城,3-5年,本科,"['五险一金', '团建聚餐', '住房补贴', '年终奖', '带薪年假', '节日福利', '股票期权', '包住', '零食下午茶', '夜班补助', '底薪加提成', '包住']","['爬虫', 'Python', '爬虫经验']",18.0,30.0,1.0,24.0,3,5,5,本科,爬虫工程师,"['五险一金', '团建聚餐', '住房补贴', '年终奖', '带薪年假', '节日福利', '股票期权', '包住', '零食下午茶', '夜班补助', '底薪加提成', '包住']","['爬虫', 'Python', '爬虫经验']",12,3,0,1,0
前端开发工程师（React方向）,15-17K,长沙,开福区,四方坪,3-5年,本科,"['年终奖', '五险一金', '包吃', '零食下午茶', '绩效奖金', '保底工资']",['React'],15.0,17.0,1.0,16.0,3,5,5,本科,开发工程师,"['年终奖', '五险一金', '包吃', '零食下午茶', '绩效奖金', '保底工资']",['React'],6,1,0,0,0
动画技术（AIGC）,6-10K,长沙,开福区,马栏山,1-3年,大专,"['团建聚餐', '五险一金', '餐补', '节日福利', '带薪年假', '生日福利']",['Python'],6.0,10.0,1.0,8.0,1,3,4,大专,AI/算法工程师,"['团建聚餐', '五险一金', '餐补', '节日福利', '带薪年假', '生日福利']",['Python'],6,1,1,1,0
软件测试工程师-CS (MJ000128),10-15K,长沙,开福区,伍家岭,3-5年,本科,"['带薪年假', '餐补', '年终奖', '政府人才房', '五险一金', '员工旅游', '加班补助', '通讯补贴', '节日福利', '交通补助', '股票期权']","['Python', '计算机相关专业', '功能测试经验', '测试工作经验']",10.0,15.0,1.0,12.5,3,5,5,本科,测试工程师,"['带薪年假', '餐补', '年终奖', '政府人才房', '五险一金', '员工旅游', '加班补助', '通讯补贴', '节日福利', '交通补助', '股票期权']","['Python', '计算机相关专业', '功能测试经验', '测试工作经验']",11,4,0,1,0
全栈开发工程师,11-18K,长沙,开福区,松桂园,1-3年,本科,"['绩效奖金', '定期体检', '带薪年假', '节日福利', '年终奖', '五险一金', '生日福利']","['Vue', 'Node.js', 'Python', '全栈项目经验']",11.0,18.0,1.0,14.5,1,3,5,本科,开发工程师,"['绩效奖金', '定期体检', '带薪年假', '节日福利', '年终奖', '五险一金', '生日福利']","['Vue', 'Node.js', 'Python', '全栈项目经验']",7,4,0,1,0
ai人工智能开发工程师,10-11K,长沙,开福区,中山路,3-5年,本科,"['包吃', '五险一金', '餐补', '带薪年假', '员工旅游', '年终奖']","['C/C++', '大模型算法', '算法工程化经验', '风控算法', '数据挖掘', '大数据处理工具(Spark/Hadoop/Hive)', '推荐算法', 'Python']",10.0,11.0,1.0,10.5,3,5,5,本科,开发工程师,"['包吃', '五险一金', '餐补', '带薪年假', '员工旅游', '年终奖']","['C/C++', '大模型算法', '算法工程化经验', '风控算法', '数据挖掘', '大数据处理工具(Spark/Hadoop/Hive)', '推荐算法', 'Python']",6,8,1,1,0
物联网讲师,15-25K,长沙,,,5-10年,硕士,"['股票期权', '定期体检', '员工旅游', '年终奖', '餐补', '五险一金', '零食下午茶', '补充医疗保险', '交通补助', '通讯补贴', '带薪年假', '节日福利', '免费班车']","['互联网公司经验', '线上教育']",15.0,25.0,1.0,20.0,5,10,6,硕士,教育培训,"['股票期权', '定期体检', '员工旅游', '年终奖', '餐补', '五险一金', '零食下午茶', '补充医疗保险', '交通补助', '通讯补贴', '带薪年假', '节日福利', '免费班车']","['互联网公司经验', '线上教育']",13,2,0,0,0
推荐算法工程师,30-50K,长沙,开福区,四方坪,3-5年,硕士,"['包吃', '交通补助', '节日福利', '零食下午茶', '带薪年假', '年终奖', '餐补', '绩效工资', '五险一金', '定期体检']","['Python', '推荐系统相关经验', '自然语言处理经验', '搜索相关经验', '电商/广告算法经验']",30.0,50.0,1.0,40.0,3,5,6,硕士,AI/算法工程师,"['包吃', '交通补助', '节日福利', '零食下午茶', '带薪年假', '年终奖', '餐补', '绩效工资', '五险一金', '定期体检']","['Python', '推荐系统相关经验', '自然语言处理经验', '搜索相关经验', '电商/广告算法经验']",10,5,1,1,0
数据管家/数据治理（长沙）,12-20K,长沙,开福区,青竹湖,3-5年,大专,"['五险一金', '免费班车', '生日福利', '节日福利', '员工旅游', '工龄奖', '包住', '餐补', '年终奖', '带薪年假', '内购福利', '宿舍有空调', '零食下午茶']","['数据产品', '数据治理']",12.0,20.0,1.0,16.0,3,5,4,大专,其他,"['五险一金', '免费班车', '生日福利', '节日福利', '员工旅游', '工龄奖', '包住', '餐补', '年终奖', '带薪年假', '内购福利', '宿舍有空调', '零食下午茶']","['数据产品', '数据治理']",13,2,0,0,0
测试开发工程师,10-15K,长沙,,,1-3年,本科,"['交通补助', '股票期权', '五险一金', '员工旅游', '餐补', '定期体检', '住房补贴', '年终奖', '带薪年假', '补充医疗保险']","['自动化测试经验', 'Java', '测试工作经验', '自动化测试', '性能测试', '功能测试', '计算机相关专业', 'Python']",10.0,15.0,1.0,12.5,1,3,5,本科,开发工程师,"['交通补助', '股票期权', '五险一金', '员工旅游', '餐补', '定期体检', '住房补贴', '年终奖', '带薪年假', '补充医疗保险']","['自动化测试经验', 'Java', '测试工作经验', '自动化测试', '性能测试', '功能测试', '计算机相关专业', 'Python']",10,8,0,1,0
高级测试开发工程师,11-22K·16薪,长沙,开福区,烈士公园,经验不限,本科,"['餐补', '五险一金', '住房补贴', '加班补助', '通讯补贴', '包吃', '员工旅游', '节日福利', '免费班车', '带薪年假', '股票期权', '零食下午茶', '定期体检', '交通补助', '年终奖', '全勤奖']","['功能测试', '自动化测试', 'Java', 'MySQL', 'TestNG', '计算机相关专业', '测试工作经验', '自动化测试经验']",11.0,22.0,1.3333333333333333,22.0,0,0,5,本科,开发工程师,"['餐补', '五险一金', '住房补贴', '加班补助', '通讯补贴', '包吃', '员工旅游', '节日福利', '免费班车', '带薪年假', '股票期权', '零食下午茶', '定期体检', '交通补助', '年终奖', '全勤奖']","['功能测试', '自动化测试', 'Java', 'MySQL', 'TestNG', '计算机相关专业', '测试工作经验', '自动化测试经验']",16,8,0,0,0
ai人工智能开发工程师,10-11K,长沙,开福区,湘江中路,3-5年,本科,"['保底工资', '定期体检', '员工旅游', '带薪年假', '绩效奖金', '意外险', '底薪加提成', '年终奖', '加班补助', '全勤奖', '五险一金', '股票期权', '夜班补助']","['Python', 'C++', '爬虫经验', '量化交易开发经验']",10.0,11.0,1.0,10.5,3,5,5,本科,开发工程师,"['保底工资', '定期体检', '员工旅游', '带薪年假', '绩效奖金', '意外险', '底薪加提成', '年终奖', '加班补助', '全勤奖', '五险一金', '股票期权', '夜班补助']","['Python', 'C++', '爬虫经验', '量化交易开发经验']",13,4,1,1,0
渗透测试工程师,13-20K,长沙,开福区,青竹湖,1-3年,本科,"['工龄奖', '绩效奖金', '五险一金', '节日福利', '生日福利', '零食下午茶', '团建聚餐']","['攻防对抗经验', '计算机相关专业', '渗透测试经验']",13.0,20.0,1.0,16.5,1,3,5,本科,测试工程师,"['工龄奖', '绩效奖金', '五险一金', '节日福利', '生日福利', '零食下午茶', '团建聚餐']","['攻防对抗经验', '计算机相关专业', '渗透测试经验']",7,3,0,0,0
Aigc算法专家,45-70K,长沙,,,3-5年,硕士,"['节日福利', '餐补', '带薪年假', '绩效工资', '包吃', '年终奖', '五险一金', '定期体检', '交通补助', '零食下午茶']","['深度学习', '大模型算法', '多模态算法', '图像生成']",45.0,70.0,1.0,57.5,3,5,6,硕士,AI/算法工程师,"['节日福利', '餐补', '带薪年假', '绩效工资', '包吃', '年终奖', '五险一金', '定期体检', '交通补助', '零食下午茶']","['深度学习', '大模型算法', '多模态算法', '图像生成']",10,4,1,0,0
嵌入式工程师,13-22K·13薪,长沙,开福区,四方坪,3-5年,本科,"['有无线网', '带薪年假', '定期体检', '五险一金', '宿舍有空调', '保底工资', '意外险']","['STM32开发', '通信相关专业', '嵌入式/单片机开发经验', '计算机相关专业', 'Linux驱动开发']",13.0,22.0,1.0833333333333333,18.958333333333332,3,5,5,本科,其他,"['有无线网', '带薪年假', '定期体检', '五险一金', '宿舍有空调', '保底工资', '意外险']","['STM32开发', '通信相关专业', '嵌入式/单片机开发经验', '计算机相关专业', 'Linux驱动开发']",7,5,0,0,0
大数据开发工程师,10-15K·14薪,长沙,开福区,烈士公园,1-3年,本科,"['股票期权', '节日福利', '员工旅游', '全勤奖', '通讯补贴', '五险一金', '带薪年假', '包吃', '定期体检', '夜班补助', '补充医疗保险', '节假日加班费', '年终奖', '加班补助', '零食下午茶', '意外险', '住房补贴', '餐补', '免费班车', '交通补助']","['Spark', 'Flink', 'Java']",10.0,15.0,1.1666666666666667,14.583333333333334,1,3,5,本科,开发工程师,"['股票期权', '节日福利', '员工旅游', '全勤奖', '通讯补贴', '五险一金', '带薪年假', '包吃', '定期体检', '夜班补助', '补充医疗保险', '节假日加班费', '年终奖', '加班补助', '零食下午茶', '意外险', '住房补贴', '餐补', '免费班车', '交通补助']","['Spark', 'Flink', 'Java']",20,3,0,0,0
乐高机器人编程老师,5-10K,长沙,开福区,湘江世纪城,1-3年,大专,"['带薪年假', '零食下午茶', '节日福利', '年终奖', '员工旅游', '全勤奖']","['线下教育', '坐班', '小班教学（3-25人）', '学前儿童/小学生', '理工科教育背景', '幼儿教育工作经验', '课程/课件研发', '有趣的灵魂、能歌善舞、会做饭菜']",5.0,10.0,1.0,7.5,1,3,4,大专,教育培训,"['带薪年假', '零食下午茶', '节日福利', '年终奖', '员工旅游', '全勤奖']","['线下教育', '坐班', '小班教学（3-25人）', '学前儿童/小学生', '理工科教育背景', '幼儿教育工作经验', '课程/课件研发', '有趣的灵魂、能歌善舞、会做饭菜']",6,8,0,0,0
CTO/技术总监,20-40K,长沙,开福区,四方坪,5-10年,本科,"['五险一金', '年终奖', '带薪年假', '餐补', '节日福利', '免费班车', '全勤奖', '加班补助']","['微服务架构', '分布式技术']",20.0,40.0,1.0,30.0,5,10,5,本科,架构师/技术管理,"['五险一金', '年终奖', '带薪年假', '餐补', '节日福利', '免费班车', '全勤奖', '加班补助']","['微服务架构', '分布式技术']",8,2,0,0,0
DevOps架构师,20-30K,长沙,开福区,马栏山,5-10年,本科,"['五险一金', '年终奖', '节日福利', '带薪年假', '定期体检', '零食下午茶', '股票期权', '补充医疗保险']","['Python', 'Go', 'Shell', '容器技术', 'AI', '算力']",20.0,30.0,1.0,25.0,5,10,5,本科,运维工程师,"['五险一金', '年终奖', '节日福利', '带薪年假', '定期体检', '零食下午茶', '股票期权', '补充医疗保险']","['Python', 'Go', 'Shell', '容器技术', 'AI', '算力']",8,6,0,1,0
薪酬绩效专家（连锁、双休、入职五险一金）,10-15K·13薪,长沙,开福区,五一广场,5-10年,本科,"['零食下午茶', '年终奖', '绩效奖金', '全勤奖', '意外险', '保底工资', '团建聚餐', '生日福利', '宿舍有空调', '底薪加提成', '加班补助', '有无线网', '节日福利', '餐补', '包住', '带薪年假', '法定节假日三薪', '五险一金']","['激励体系设计优化', '擅长数据分析', '绩效考核管理', '1000人以上', '熟练使用Excel', '人力资源管理师持证', '薪资核算']",10.0,15.0,1.0833333333333333,13.541666666666666,5,10,5,本科,其他,"['零食下午茶', '年终奖', '绩效奖金', '全勤奖', '意外险', '保底工资', '团建聚餐', '生日福利', '宿舍有空调', '底薪加提成', '加班补助', '有无线网', '节日福利', '餐补', '包住', '带薪年假', '法定节假日三薪', '五险一金']","['激励体系设计优化', '擅长数据分析', '绩效考核管理', '1000人以上', '熟练使用Excel', '人力资源管理师持证', '薪资核算']",18,7,0,0,0
AI产品技术经理,15-25K,长沙,开福区,四方坪,5-10年,本科,"['全勤奖', '员工旅游', '底薪加提成', '法定节假日三薪', '工龄奖', '保底工资', '包吃', '团建聚餐', '餐补', '有无线网', '五险一金', '零食下午茶', '年终奖', '生日福利', '交通补助', '节假日加班费', '定期体检', '绩效奖金', '节日福利', '股票期权']","['不接受居家办公', 'Java', 'Python', 'Spring', 'SpringCloud', 'Elasticsearch', 'MySQL', 'Redis', '其他', '团队管理经验', '架构设计经验', '搜索/推荐/广告经验', 'RAG', '大语言模型', 'GraphRAG']",15.0,25.0,1.0,20.0,5,10,5,本科,AI/算法工程师,"['全勤奖', '员工旅游', '底薪加提成', '法定节假日三薪', '工龄奖', '保底工资', '包吃', '团建聚餐', '餐补', '有无线网', '五险一金', '零食下午茶', '年终奖', '生日福利', '交通补助', '节假日加班费', '定期体检', '绩效奖金', '节日福利', '股票期权']","['不接受居家办公', 'Java', 'Python', 'Spring', 'SpringCloud', 'Elasticsearch', 'MySQL', 'Redis', '其他', '团队管理经验', '架构设计经验', '搜索/推荐/广告经验', 'RAG', '大语言模型', 'GraphRAG']",20,15,1,1,0
运维工程师,7-12K,长沙,开福区,四方坪,1年以内,大专,[],"['Linux', 'Python', '服务器配置', '容器技术', '网络协议', 'Nginx', 'K8S', 'Docker']",7.0,12.0,1.0,9.5,0,1,4,大专,运维工程师,[],"['Linux', 'Python', '服务器配置', '容器技术', '网络协议', 'Nginx', 'K8S', 'Docker']",0,8,0,1,0
